STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD,TweetDate,IsVisible
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2016-01-15 12:53,FM-15,BKN:07 34 OVC:08 47,10.00,,47,8.3,46,7.5,44,6.7,90,7,120,,29.96,8,,29.99,T,29.99,,,,,,,,,,0753,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,1/15/16 21:21,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-02-14 10:53,FM-15,CLR:00,10.00,,49,9.4,44,6.6,38,3.3,66,0,000,,30.04,,,30.07,0.00,30.07,,,,,,,,,,0717,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,2/14/17 18:50,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2015-01-05 12:53,FM-15,SCT:04 7 OVC:08 12,10.00,,57,13.9,54,12.1,51,10.6,81,15,170,22,30.22,3,,30.25,0.00,30.25,,,,,,,,,,0757,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,1/5/15 21:02,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2015-01-14 08:19,FM-16,SCT:04 3,3.00,BR:1 ||,37,3.0,36,2.1,34,1.0,87,0,000,,30.21,,,,,30.24,,,,,,,,,,0753,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,1/14/15 16:09,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-07-27 07:53,FM-15,CLR:00,10.00,,66,18.9,59,14.8,53,11.7,63,6,300,,30.16,,,30.19,0.00,30.19,,,,,,,,,,0441,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,7/27/14 16:30,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-02-28 17:53,FM-15,SCT:04 45 OVC:08 90,10.00,,46,7.8,40,4.5,32,0.0,58,10,190,,30.14,,,30.17,0.00,30.17,,,,,,,,,,0650,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,3/1/17 1:45,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2016-01-19 14:53,FM-15,BKN:07 44 OVC:08 55,8.00,-RA:02 |RA:61 |,46,7.8,45,7.0,43,6.1,89,0,000,,29.56,,,29.59,0.03,29.59,,,,,,,,,,0750,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,1/19/16 22:12,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-06-22 19:53,FM-15,CLR:00,10.00,,67,19.4,57,13.7,48,8.9,51,7,320,,30.18,,,30.22,0.00,30.21,,,,,,,,,,0412,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,6/23/17 4:22,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-12-21 13:53,FM-15,BKN:07 34,10.00,,40,4.4,36,2.4,31,-0.6,70,0,000,,30.34,,,30.37,0.00,30.37,,,,,,,,,,0754,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,12/21/17 22:03,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2016-05-24 14:53,FM-15,SCT:04 33 OVC:08 75,10.00,,64,17.8,57,13.8,51,10.6,63,3,320,,29.97,,,30.00,0.00,30.00,,,,,,,,,,0421,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,5/24/16 22:49,False
